Station_Id_C Year_Data Mon_Data Day_Data Hour_Data TEM PRE_1h
45007 2017 10 18 22 17.4000 999999.0000 
45007 2017 10 18 23 17.6000 999999.0000 
45007 2017 10 19 0 25.0000 999999.0000 
45007 2017 10 19 0 17.6000 999999.0000 
45007 2017 10 19 1 17.5000 999999.0000 
45007 2017 10 19 2 17.6000 999999.0000 
45007 2017 10 19 3 25.8000 999999.0000 
45007 2017 10 19 3 17.4000 999999.0000 
45007 2017 10 19 4 16.9000 999999.0000 
45007 2017 10 19 5 17.0000 999999.0000 
45007 2017 10 19 6 27.4000 999999.0000 
45007 2017 10 19 6 16.8000 999999.0000 
45007 2017 10 19 7 16.5000 999999.0000 
45007 2017 10 19 8 16.5000 999999.0000 
45007 2017 10 19 9 27.2000 999999.0000 
45007 2017 10 19 9 16.2000 999999.0000 
45007 2017 10 19 10 15.8000 999999.0000 
45007 2017 10 19 11 15.1000 999999.0000 
45007 2017 10 19 12 25.3000 999999.0000 
45007 2017 10 19 12 15.0000 999999.0000 
45007 2017 10 19 13 15.0000 999999.0000 
45007 2017 10 19 14 14.8000 999999.0000 
45007 2017 10 19 15 24.1000 999999.0000 
45007 2017 10 19 15 14.6000 999999.0000 
45007 2017 10 19 16 14.2000 999999.0000 
45007 2017 10 19 17 14.2000 999999.0000 
45007 2017 10 19 18 23.5000 999999.0000 
45007 2017 10 19 18 14.3000 999999.0000 
45007 2017 10 19 19 14.6000 999999.0000 
45007 2017 10 19 20 15.1000 999999.0000 
45007 2017 10 19 21 15.5000 999999.0000 
45007 2017 10 19 21 23.4000 999999.0000 
45007 2017 10 19 22 15.8000 999999.0000 
45007 2017 10 19 23 15.8000 999999.0000 
45007 2017 10 20 0 23.9000 999999.0000 
45007 2017 10 20 0 16.1000 999999.0000 
45007 2017 10 20 1 16.0000 999999.0000 
45007 2017 10 20 2 16.1000 999999.0000 
45007 2017 10 20 3 25.4000 999999.0000 
45007 2017 10 20 3 16.3000 999999.0000 
45007 2017 10 20 4 16.3000 999999.0000 
45007 2017 10 20 5 16.4000 999999.0000 
45007 2017 10 20 6 27.8000 999999.0000 
45007 2017 10 20 6 16.4000 999999.0000 
45007 2017 10 20 6 16.4000 999999.0000 
45007 2017 10 20 7 16.6000 999999.0000 
45007 2017 10 20 8 16.9000 999999.0000 
45007 2017 10 20 9 27.1000 999999.0000 
45007 2017 10 20 9 16.8000 999999.0000 
45007 2017 10 20 10 16.4000 999999.0000 
45007 2017 10 20 11 16.3000 999999.0000 
45007 2017 10 20 12 24.5000 999999.0000 
